Relatório Final - MLP
Épocas: 20000
Taxa de Aprendizado: 0.01
Tamanho Entrada: 4
Camadas Ocultas: 5
Tamanho Saída: 3

Pesos Iniciais:
[[-1.5529296  -0.56292929  0.32121416 -1.08841987 -0.60996214]
Época 52: Erro = 0.22235334860751432
Época 53: Erro = 0.22234393780269515
Época 54: Erro = 0.222335432232447
Época 55: Erro = 0.22232772464245845
Época 56: Erro = 0.22232072102283915
Época 57: Erro = 0.22231433891985072
Época 58: Erro = 0.2223085059706508
Época 59: Erro = 0.22230315863031624
Época 60: Erro = 0.22229824106485738
Época 61: Erro = 0.22229370418770159
Época 62: Erro = 0.2222895048203249
Época 63: Erro = 0.22228560496043165
Época 64: Erro = 0.222281971143401
Época 65: Erro = 0.2222785738846976
Época 66: Erro = 0.22227538719263518
Época 67: Erro = 0.22227238814232916
Época 68: Erro = 0.22226955650291452
Época 69: Erro = 0.22226687441117157
Época 70: Erro = 0.22226432608561586
Época 71: Erro = 0.22226189757589804
Época 72: Erro = 0.22225957654303782
Época 73: Erro = 0.222257352066602
Época 74: Erro = 0.22225521447544294
Época 75: Erro = 0.22225315519905178
Época 76: Erro = 0.222251166636959
Época 77: Erro = 0.22224924204394464
Época 78: Erro = 0.22224737542910392
Época 79: Erro = 0.22224556146706323
Época 80: Erro = 0.2222437954198555
Época 81: Erro = 0.2222420730681509
Época 82: Erro = 0.22224039065070297
Época 83: Erro = 0.22223874481101133
Época 84: Erro = 0.2222371325503259
Época 85: Erro = 0.2222355511862272
Época 86: Erro = 0.2222339983161086
Época 87: Erro = 0.2222324717849731
Época 88: Erro = 0.22223096965702485
Época 89: Erro = 0.22222949019060265
Época 90: Erro = 0.22222803181605544
Época 91: Erro = 0.22222659311620915
Época 92: Erro = 0.22222517280911663
Época 93: Erro = 0.22222376973281951
Época 94: Erro = 0.22222238283188359
Época 95: Erro = 0.22222101114549742
Época 96: Erro = 0.22221965379695022
Época 97: Erro = 0.2222183099843259
Época 98: Erro = 0.22221697897226972
Época 99: Erro = 0.2222156600847025
Época 100: Erro = 0.22221435269836987
Época 101: Erro = 0.22221305623712978
Época 102: Erro = 0.2222117701668912
Época 103: Erro = 0.22221049399112813
Época 104: Erro = 0.2222092272469018
Época 105: Erro = 0.22220796950133198
Época 106: Erro = 0.2222067203484645
Época 107: Erro = 0.2222054794064898
Época 108: Erro = 0.2222042463152713
Época 109: Erro = 0.2222030207341477
Época 110: Erro = 0.22220180233997755
Época 111: Erro = 0.22220059082539836
Época 112: Erro = 0.222199385897275
Época 113: Erro = 0.222198187275316
Época 114: Erro = 0.22219699469083826
Época 115: Erro = 0.2221958078856635
Época 116: Erro = 0.22219462661113024
Época 117: Erro = 0.22219345062720983
Época 118: Erro = 0.2221922797017129
Época 119: Erro = 0.2221911136095773
Época 120: Erro = 0.22218995213222717
Época 121: Erro = 0.22218879505699585
Época 122: Erro = 0.22218764217660475
Época 123: Erro = 0.22218649328869264
Época 124: Erro = 0.2221853481953888
Época 125: Erro = 0.22218420670292527
Época 126: Erro = 0.22218306862128476
Época 127: Erro = 0.2221819337638782
Época 128: Erro = 0.22218080194725126
Época 129: Erro = 0.22217967299081362
Época 130: Erro = 0.22217854671659124
Época 131: Erro = 0.2221774229489968
Época 132: Erro = 0.22217630151461804
Época 133: Erro = 0.22217518224202004
Época 134: Erro = 0.2221740649615624
Época 135: Erro = 0.22217294950522695
Época 136: Erro = 0.22217183570645693
Época 137: Erro = 0.222170723400005
Época 138: Erro = 0.22216961242178962
Época 139: Erro = 0.22216850260875884
Época 140: Erro = 0.22216739379876066
Época 141: Erro = 0.22216628583041853
Época 142: Erro = 0.22216517854301235
Época 143: Erro = 0.22216407177636388
Época 144: Erro = 0.22216296537072533
Época 145: Erro = 0.22216185916667197
